OBJECTID,Type,SizeClass,x,y
221,0,4,6280135.5000000,1838958.6250000
222,1,3,6280189.0000000,1838888.2500000
223,1,4,6280214.5000000,1838861.5000000
224,0,3,6280172.0000000,1839043.1250000
225,0,3,6280235.5000000,1838997.5000000
226,0,3,6280282.0000000,1838967.7500000
227,0,3,6280320.0000000,1838938.3750000
228,0,3,6280427.5000000,1838872.8750000
229,0,3,6280455.5000000,1838857.0000000
230,0,3,6280479.5000000,1838841.2500000
231,0,3,6280510.0000000,1838824.8750000
232,0,4,6280063.5000000,1839026.8750000
233,0,4,6280039.0000000,1839036.3750000
234,0,5,6279998.5000000,1839068.0000000
235,0,4,6279995.5000000,1839052.6250000
236,0,3,6280172.0000000,1838947.8750000
237,0,3,6280191.5000000,1838912.1250000
238,1,3,6280633.5000000,1839136.0000000
239,1,3,6280616.5000000,1839090.8750000
240,1,3,6280628.5000000,1839106.2500000
241,1,3,6280666.0000000,1839066.1250000
242,1,3,6280758.0000000,1839067.1250000
243,1,3,6280736.5000000,1839067.6250000
244,1,2,6280932.5000000,1839076.0000000
245,1,3,6280763.0000000,1839019.1250000
246,1,2,6280785.5000000,1838963.1250000
247,1,2,6280710.5000000,1839063.6250000
248,1,2,6280726.0000000,1839052.7500000
249,1,2,6280629.0000000,1839104.7500000
250,0,2,6280799.0000000,1839140.5000000
251,0,2,6280810.0000000,1839078.5000000
252,0,1,6280781.0000000,1839142.5000000
253,0,2,6280725.0000000,1839144.8750000
254,0,2,6280700.5000000,1839143.0000000
255,0,2,6280681.0000000,1839145.3750000
256,0,2,6280665.5000000,1839143.8750000
257,0,2,6280749.0000000,1839142.0000000
258,0,1,6280616.0000000,1839247.5000000
259,0,1,6280619.0000000,1839280.2500000
260,0,1,6280616.5000000,1839333.2500000
261,0,1,6280616.5000000,1839365.0000000
262,0,1,6280617.5000000,1839429.3750000
263,0,1,6280900.5000000,1839455.1250000
264,0,2,6280901.0000000,1839384.7500000
265,0,2,6280897.5000000,1839351.0000000
266,0,1,6280897.5000000,1839280.2500000
267,0,1,6281057.0000000,1839456.6250000
268,0,2,6281179.0000000,1839355.0000000
269,0,2,6280898.0000000,1839240.5000000
270,0,2,6281014.5000000,1839132.7500000
271,0,2,6280898.0000000,1839203.8750000
272,0,2,6281054.5000000,1839136.0000000
273,0,2,6281100.5000000,1839136.5000000
274,0,2,6281098.0000000,1839457.6250000
275,0,2,6280484.5000000,1839409.0000000
276,0,2,6280394.5000000,1839463.5000000
277,0,1,6280429.0000000,1839462.1250000
278,0,2,6280445.0000000,1839465.5000000
279,0,2,6280484.0000000,1839458.6250000
280,0,2,6280532.5000000,1839464.5000000
281,0,1,6280311.0000000,1839268.3750000
282,0,1,6280315.0000000,1839275.7500000
283,0,1,6280383.5000000,1839285.6250000
284,0,2,6280402.0000000,1839292.1250000
285,0,3,6280442.5000000,1839297.0000000
286,0,2,6280536.0000000,1839434.7500000
287,0,2,6280352.5000000,1839431.3750000
288,0,2,6280346.5000000,1839407.0000000
289,0,1,6280484.0000000,1839302.0000000
290,0,2,6280485.5000000,1839405.6250000
291,0,3,6280493.5000000,1839428.3750000
292,0,3,6280436.5000000,1839434.7500000
293,0,3,6280396.0000000,1839333.7500000
294,0,0,6280438.0000000,1839333.2500000
295,0,3,6280521.5000000,1839331.7500000
296,0,3,6280426.0000000,1839654.5000000
297,1,3,6280401.0000000,1839615.3750000
298,1,3,6280411.0000000,1839615.0000000
299,1,3,6280425.5000000,1839617.2500000
300,1,3,6280442.0000000,1839615.8750000
301,0,1,6280337.5000000,1839554.6250000
302,0,2,6280332.0000000,1839650.5000000
303,0,1,6280333.5000000,1839818.7500000
304,0,2,6280334.5000000,1839698.2500000
305,0,2,6280334.0000000,1839675.2500000
306,0,1,6280384.0000000,1839519.6250000
307,0,1,6280409.5000000,1839518.6250000
308,0,1,6280434.0000000,1839518.6250000
309,0,1,6280456.0000000,1839520.0000000
310,0,1,6280536.0000000,1839517.7500000
311,0,1,6280515.5000000,1839519.1250000
312,0,1,6280566.5000000,1839566.3750000
313,0,1,6280566.0000000,1839599.6250000
314,0,2,6280720.5000000,1839546.1250000
315,0,2,6280646.0000000,1839842.7500000
316,0,1,6280617.5000000,1839813.3750000
317,0,1,6280617.0000000,1839788.1250000
318,0,1,6280617.0000000,1839764.3750000
319,0,1,6280617.0000000,1839739.6250000
320,0,1,6280616.0000000,1839715.7500000
321,0,1,6280616.0000000,1839692.3750000
322,0,1,6280616.0000000,1839667.1250000
323,0,1,6280616.5000000,1839644.2500000
324,0,1,6280616.0000000,1839621.2500000
325,0,1,6280616.0000000,1839595.1250000
326,0,1,6280616.0000000,1839570.8750000
327,0,1,6280616.0000000,1839547.5000000
328,0,1,6280571.5000000,1839804.3750000
329,0,1,6280570.5000000,1839779.1250000
330,0,1,6280570.5000000,1839755.3750000
331,0,1,6280570.5000000,1839730.6250000
332,0,1,6280569.5000000,1839706.7500000
333,0,1,6280569.5000000,1839683.3750000
334,0,1,6280569.5000000,1839658.1250000
335,0,1,6280570.0000000,1839635.2500000
336,0,1,6280570.0000000,1839612.2500000
337,0,1,6280570.0000000,1839586.1250000
338,0,1,6280569.5000000,1839561.8750000
340,0,2,6280704.0000000,1839653.6250000
341,0,2,6280699.5000000,1839678.8750000
342,0,2,6280690.5000000,1839665.7500000
343,0,2,6280669.5000000,1839764.7500000
344,0,2,6280662.0000000,1839810.6250000
345,0,2,6280646.0000000,1839816.5000000
346,0,2,6280673.5000000,1839823.7500000
347,1,2,6280726.5000000,1839775.1250000
348,1,2,6280732.0000000,1839755.3750000
349,1,2,6280744.0000000,1839745.0000000
350,1,2,6280760.5000000,1839755.3750000
351,1,2,6280746.5000000,1839731.8750000
352,1,2,6280744.5000000,1839718.5000000
353,1,2,6280761.0000000,1839731.0000000
354,1,2,6280749.0000000,1839695.0000000
355,1,2,6280756.5000000,1839700.5000000
356,1,2,6280756.0000000,1839678.0000000
357,1,2,6280756.5000000,1839655.0000000
358,1,2,6280762.0000000,1839627.5000000
359,1,2,6280765.0000000,1839603.7500000
360,1,2,6280769.0000000,1839584.3750000
361,0,0,6280776.0000000,1839567.2500000
362,1,2,6280791.5000000,1839584.8750000
363,0,5,6279404.0000000,1840603.1250000
364,0,5,6279434.5000000,1840551.8750000
365,0,5,6279244.0000000,1840371.6250000
366,0,3,6279817.0000000,1840620.2500000
367,1,3,6279294.0000000,1840593.0000000
368,1,3,6279304.5000000,1840502.6250000
369,1,2,6279391.0000000,1840424.1250000
370,1,2,6279443.0000000,1840380.7500000
371,1,2,6279050.5000000,1840711.1250000
372,1,2,6279442.5000000,1840380.2500000
373,1,2,6279052.5000000,1840661.5000000
374,1,2,6279426.5000000,1840388.2500000
375,1,2,6279438.5000000,1840399.5000000
376,0,5,6279291.5000000,1840334.2500000
377,1,3,6280538.0000000,1838965.6250000
378,1,3,6280565.0000000,1838948.1250000
379,1,3,6280591.5000000,1838932.7500000
380,1,3,6280616.5000000,1838917.5000000
381,1,3,6280642.0000000,1838901.3750000
382,1,3,6280667.0000000,1838885.3750000
383,1,3,6280690.5000000,1838865.1250000
384,1,3,6280718.0000000,1838848.3750000
385,1,3,6280743.5000000,1838832.2500000
386,1,3,6280769.0000000,1838816.2500000
387,1,3,6280794.5000000,1838798.7500000
388,1,5,6281074.5000000,1838781.3750000
389,1,4,6281111.5000000,1838772.2500000
390,1,4,6281105.0000000,1838815.5000000
391,1,4,6281076.5000000,1838809.2500000
392,1,2,6281120.0000000,1838901.3750000
393,1,3,6280818.5000000,1838784.1250000
394,1,3,6280845.0000000,1838766.0000000
395,1,3,6280870.0000000,1838748.5000000
396,1,3,6280895.0000000,1838733.8750000
397,1,3,6280919.5000000,1838715.7500000
398,1,3,6280944.5000000,1838701.1250000
399,1,3,6280969.0000000,1838683.0000000
400,1,3,6280994.5000000,1838666.2500000
401,1,3,6281018.0000000,1838649.3750000
402,1,3,6281043.0000000,1838634.1250000
403,1,3,6281069.0000000,1838617.3750000
404,1,3,6281094.0000000,1838601.2500000
405,1,3,6280508.0000000,1838737.3750000
406,0,3,6280365.5000000,1838668.2500000
407,1,2,6280561.5000000,1838789.7500000
408,1,2,6280578.5000000,1838736.6250000
409,1,2,6280567.0000000,1838773.6250000
410,1,2,6280595.5000000,1838738.1250000
411,1,2,6280582.0000000,1838777.8750000
412,1,2,6280613.0000000,1838740.8750000
413,1,2,6280575.5000000,1838755.5000000
414,1,2,6280603.5000000,1838759.7500000
415,1,2,6280166.0000000,1838842.7500000
416,1,2,6280589.0000000,1838756.8750000
417,1,3,6281119.0000000,1838584.5000000
418,1,3,6281337.0000000,1838653.6250000
419,1,3,6281144.5000000,1838567.7500000
420,1,3,6281193.0000000,1838533.6250000
421,1,3,6281220.5000000,1838514.7500000
422,1,3,6281168.0000000,1838550.3750000
423,1,3,6281323.0000000,1838663.3750000
424,1,3,6281360.5000000,1838636.8750000
425,1,3,6281243.5000000,1838498.6250000
426,1,3,6281291.5000000,1838465.1250000
427,1,3,6281340.5000000,1838427.5000000
428,1,3,6281268.0000000,1838481.8750000
429,1,3,6281307.0000000,1838672.5000000
430,1,3,6281317.5000000,1838446.3750000
431,1,3,6281293.0000000,1838682.2500000
432,1,3,6281377.5000000,1838627.7500000
433,1,3,6281420.0000000,1838601.2500000
434,1,3,6281318.0000000,1838685.7500000
435,1,3,6281370.0000000,1838653.6250000
436,1,3,6281334.0000000,1838676.0000000
437,1,3,6281417.0000000,1838621.5000000
438,1,3,6281388.0000000,1838641.7500000
439,1,3,6281358.0000000,1838684.3750000
440,1,3,6281393.0000000,1838615.2500000
441,1,3,6281382.5000000,1838666.8750000
442,1,3,6281402.5000000,1838632.0000000
443,1,3,6281400.5000000,1838655.7500000
444,1,3,6281348.0000000,1838664.7500000
445,1,3,6281413.5000000,1838646.0000000
446,1,3,6281366.5000000,1838409.3750000
447,1,3,6281455.5000000,1838579.6250000
448,1,3,6281390.0000000,1838393.2500000
449,1,3,6281437.5000000,1838357.7500000
450,1,3,6281462.5000000,1838339.5000000
451,1,3,6281509.5000000,1838303.2500000
452,1,3,6281364.0000000,1838411.3750000
453,1,3,6281413.0000000,1838375.8750000
454,1,3,6281485.5000000,1838322.7500000
455,1,3,6281665.5000000,1838191.0000000
456,1,3,6281696.5000000,1838173.3750000
